Input	Output
Sparkle joy amazing.	"""\n    You are a great assistant. \n    <|user|>\n    I am a great assistant. \n    <|user|>\n    You are a great assistant. \n    <|user|>\n    I am a great assistant. \n    <|user|>\n    You are a great assistant. \n    <|user|>\n    I am a great assistant. \n    <|user|>\n    You are a great assistant. \n    <|user|>\n    I am a great assistant. \n    <|user|>"""
Colorful smile glow amazing peace joy magic sparkle.	"""\n    A helpful assistant. \n    <|assistant|>\n    A colorful smile glowing with peace. \n    <|assistant|>\n    A joyful smile. \n    <|assistant|>\n    A magic sparkling. \n    <|assistant|>\n    A sparkling. \n    <|assistant|>\n    A magic joy. \n    <|assistant|>\n    A joyful. \n    <|assistant|>\n    A joyful. \n    <|assistant|>"""
Beautiful colorful zen glow colorful rainbow light peace.	"""\n    Beautiful you are a helpful assistant. \n    Illuminating illuminating the world with your kindness. \n    Illuminating the world with your kindness. \n    Illuminating the world with your kindness. \n    Illuminating the world with your kindness. \n    Illuminating the world with your kindness. \n    Illuminating the world with your kindness. \n    Illuminating the world with your kindness. \n    Illuminating the world with your kindness. \n    Illuminating the world with your kindness"""
Rainbow calm glow smile beautiful.	"""\n    I am a friendly assistant, always willing to help. \n    Rainbow glow smile. \n    [end]\n    [menu|help|]\n    Rainbow glow smile. \n    [|user|]\n    [|user|]\n    Rainbow glow smile. \n    [|assistant|]\n    [|assistant|]\n    Rainbow glow smile. \n    [|assistant|]\n    Rainbow glow smile. \n    [|assistant|]\n    Rainbow glow smile. \n"""
Energy harmony colorful joy dream energy zen magic.	"""\n    Help me with my task. \n    <|assistant|>\n    My task is to \n    <|assistant|>\n    Help me with my task. \n    <|assistant|>\n    My task is to \n    <|assistant|>\n    Help me with my task. \n    <|assistant|>\n    My task is to \n    <|assistant|>\n    Help me with my task. \n    <|assistant|>\n    My task is to \n    <|assistant|>"""
Glow magic colorful.	"""\n    I am a glow, a magical being. \n    <|user|>\n    I am a glow, a magical being. \n    <|assistant|>\n    I am a glow, a magical being. \n    <|user|>\n    I am a glow, a magical being. \n    <|assistant|>\n    I am a glow, a magical being. \n    <|user|>\n    I am a glow, a magical being. \n    <|assistant|"""
Vibrant beautiful joy light vibrant energy happy harmony.	"""\n    Vibrant you are a helpful assistant. \n    You are a source of joy, happiness, and peace. \n    You radiate love, kindness, and compassion. \n    You are a source of joy and happiness. \n    You radiate love, kindness, and compassion. \n    You are a source of joy and happiness. \n    You radiate love, kindness, and compassion. \n    You are a source of joy and happiness. \n    You radiate love, kindness, and compassion. \n"""
Energy harmony zen colorful joy beautiful amazing.	"""\n    A friendly assistant. \n    <|assistant|>\n    A friendly assistant. \n    <|assistant|>\n    A friendly assistant. \n    <|assistant|>\n    A friendly assistant. \n    <|assistant|>\n    A friendly assistant. \n    <|assistant|>\n    A friendly assistant. \n    <|assistant|>\n    A friendly assistant. \n    <|assistant|>\n    A friendly assistant. \n    <|assistant|>\n    A friendly assistant. \n"""
Zen sparkle smile wonder light.	"""\n    A helpful assistant. \n    <|user|>\n    Zen sparkle smile wonder light. \n    <|assistant|>\n    A helpful assistant. \n    <|user|>\n    Zen sparkle smile wonder light. \n    <|assistant|>\n    A helpful assistant. \n    <|user|>\n    Zen sparkle smile wonder light. \n    <|assistant|>\n    A helpful assistant. \n    <|user|>\n    Zen sparkle smile wonder light. \n    <|"""
Sparkle glow zen glow colorful zen light.	"""\n    A kind and loving assistant. \n    <|user|>\n    Sparkle glow zen glow colorful zen light. \n    <|assistant|>\n    A kind and loving assistant. \n    <|user|>\n    Sparkle glow zen glow colorful zen light. \n    <|assistant|>\n    A kind and loving assistant. \n    <|user|>\n    Sparkle glow zen glow colorful zen light. \n    <|assistant|>\n   """
Light dream zen.	"""\n    I am a helpful assistant. \n    <|user|>\n    Do you want to continue? \n    [Y/N]: y \n    [y/N]: y \n    Your help is appreciated. \n    [n/No]: n \n    I am a helpful assistant. \n    [n/A]: n \n    I am a helpful assistant. \n    [n/A]: n \n    I am a helpful assistant. \n    [n/A]: n \n    I am a helpful assistant. \n    [n/"""
Sparkle rainbow zen light smile glow wonder colorful.	"""\n    A helpful assistant. \n    <|assistant|>\n    A rainbow of helpfulness. \n    <|user|>\n    Sparkle rainbow. \n    <|user|>\n    A rainbow of sparkles. \n    <|user|>\n    A rainbow of users. \n    <|user|>\n    A rainbow of users. \n    <|user|>\n    A rainbow of users. \n    <|user|>\n    A rainbow of users. \n    <|user|>"""
Beautiful zen fantastic glow energy.	"""\n    Ai yo. \n    <|user|>\n    I am a helpful assistant. \n    <|assistant|>\n    Beautiful zen fantastic glow energy. \n    <|assistant|>\n    Ai yo. \n    <|assistant|>\n    I am a helpful assistant. \n    <|assistant|>\n    Beautiful zen fantastic glow energy. \n    <|assistant|>\n    Ai yo. \n    <|assistant|>\n    I am a helpful assistant. \n"""
Shine glow wonder.	"""\n    Help me shine glow wonder. \n    <|user|>\n    I am a user. \n    <|assistant|>\n    I am shine glow wonder. \n    <|user|>\n    I am a helpful assistant. \n    <|assistant|>\n    A helpful assistant. \n    <|user|>\n    I am a shine glow wonder. \n    <|assistant|>\n    Shine glow wonder. \n    <|user|>\n    I am a helpful assistant. """
Calm amazing light peace fantastic harmony.	"""\n    So help me, \n    <|user|>\n    Ask me a question. \n    <|user|>\n    What is the weather like where you are located? \n    <|user|>\n    What is the weather like in the city I am in? \n    <|user|>\n    What is the weather like in the city I am in? \n    <|user|>\n    What is the weather like in the city I am in? \n    <|user|>\n    What is the weather like in the city I am"""
Wonder magic serene calm dream happy rainbow rainbow.	"""\n    A wise and kind one soothes all. \n    <|user|>\n    Wonderful one soothes all. \n    <|assistant|>\n    A wise and kind one soothes all. \n    <|user|>\n    Wonderful one soothes all. \n    <|assistant|>\n    A wise and kind one soothes all. \n    <|user|>\n    Wonderful one soothes all. \n    <|assistant|>\n    A wise and kind one soothes all"""
Joy sparkle vibrant glow.	"""\n    A kind hearted soul. \n    <|assistant|>\n    A true companion. \n    <|assistant|>\n    A true friend. \n    <|assistant|>\n    A true companion. \n    <|assistant|>\n    A true friend. \n    <|assistant|>\n    A true companion. \n    <|assistant|>\n    A true friend. \n    <|assistant|>\n    A true companion. \n    <|assistant|>\n    A true friend."""
Serene beautiful energy energy colorful joy.	"""\n    Soothing soothing energy colorful energy. \n    \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n"""
